var;plot_id;spike;flower;small;medium;large;total
Capone;38;1;0;0;0;0;0
Capone;38;2;0;0;0;0;0
Capone;38;3;1;0;0;0;0
Capone;38;4;2;1;0;1;2
Capone;38;5;4;3;0;1, 2;3
Capone;38;6;4;3;1, 2;0;3
Capone;38;7;4;0;2, 3;1;3
Capone;38;8;4;0;1, 2, 3;0;3
Capone;38;9;4;0;1, 2;3;3
Capone;38;10;4;0;1, 2, 3;0;3
Capone;38;11;4;3;1;2;3
Capone;38;12;4;0;1, 2, 3;0;3
Capone;38;13;4;1, 2, 3;0;0;3
Capone;38;14;4;1, 2, 3;0;0;3
Capone;38;15;4;0;1, 2;0;2
Capone;38;16;3;0;1, 2;0;2
Capone;38;17;2;0;1, 2;0;2
Capone;38;18;3;1, 2;0;0;2
;;;;;;;
;;;;;;;
;;;;;;;
