var;plot_id;spike;flower;small;medium;large;total
Capone;38;1;1;0;0;0;0
Capone;38;2;3;1, 2;0;0;2
Capone;38;3;5;0;1, 2, 3;0;3
Capone;38;4;5;1, 2;3;0;3
Capone;38;5;4;1, 2, 3, 4;0;0;0
Capone;38;6;5;1, 3, 4;2;0;4
Capone;38;7;5;1, 2, 4;0;3;4
Capone;38;8;5;1, 2, 3;4;0;4
Capone;38;9;5;1, 2, 3, 4;0;0;4
Capone;38;10;5;1, 2;0;3;3
Capone;38;11;5;1, 2, 3;4;0;4
Capone;38;12;5;1, 2, 3, 4;0;0;4
Capone;38;13;5;1, 2;3;0;3
Capone;38;14;5;1, 2;3;0;3
Capone;38;15;4;2;1, 3;0;0
Capone;38;16;4;1, 2, 3;0;0;3
Capone;38;17;4;1, 2;0;0;2
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
