var;plot_id;spike;flower;small;medium;large;total
Capone;36;1;3;1, 2;0;0;2
Capone;36;2;5;1, 2;3;0;3
Capone;36;3;4;1;0;1;2
Capone;36;4;5;1;0;2, 3;3
Capone;36;5;6;0;2, 3;1, 4;4
Capone;36;6;6;1;2, 3, 4;0;4
Capone;36;7;6;1, 3, 4;2;0;4
Capone;36;8;6;2;1, 3;0;3
Capone;36;9;6;2;1, 3, 4;0;4
Capone;36;10;6;2, 3;1, 4;0;4
Capone;36;11;6;1, 4;2, 3;0;4
Capone;36;12;6;1, 4;2, 3;0;4
Capone;36;13;4;0;1, 3, 4;2;4
Capone;36;14;5;1, 2, 3, 4;0;0;4
Capone;36;15;5;1, 2, 3;0;0;3
Capone;36;16;5;1, 2, 3;0;0;3
Capone;36;17;4;0;1, 2;0;2
Capone;36;18;3;0;1, 2;0;2
;;;;;;;
;;;;;;;
