var;plot_id;spike;flower;small;medium;large;total
Capone;36;1;1;0;0;0;0
Capone;36;2;3;0;0;0;0
Capone;36;3;3;1, 2, 3;0;0;3
Capone;36;4;4;1, 2, 3;0;0;3
Capone;36;5;5;1, 2, 3;0;0;3
Capone;36;6;5;1, 2, 3;0;0;3
Capone;36;7;5;1, 2, 3;0;0;3
Capone;36;8;6;1, 2, 3, 4;0;0;4
Capone;36;9;5;1, 2, 3, 4;0;0;4
Capone;36;10;6;1, 2, 3;0;0;3
Capone;36;11;6;1, 2, 3, 4;0;0;4
Capone;36;12;5;1, 2, 3, 4;0;0;4
Capone;36;13;6;1, 2, 4;3;0;4
Capone;36;14;5;1, 2;3;0;3
Capone;36;15;5;1, 2, 3;0;0;3
Capone;36;16;5;1, 2, 3;0;0;3
Capone;36;17;5;1, 2, 3;0;0;3
Capone;36;18;5;1, 2, 3;0;0;3
Capone;36;19;4;1, 2;0;0;2
;;;;;;;
