var;plot_id;spike;flower;small;medium;large;total
Capone;36;1;4;1, 2;0;0;2
Capone;36;2;5;1, 2, 3;0;0;3
Capone;36;3;5;0;1, 3;2;3
Capone;36;4;5;1, 2;1;0;3
Capone;36;5;5;0;1, 2, 3;0;3
Capone;36;6;5;2, 4;0;1, 3;4
Capone;36;7;6;2;1, 3;0;3
Capone;36;8;6;4;1, 2, 3;0;4
Capone;36;9;5;2, 3;1;0;3
Capone;36;10;5;2, 4;1, 3;0;4
Capone;36;11;5;4;1, 2, 3;0;4
Capone;36;12;5;2,3;1,4;0;4
Capone;36;13;5;0;1, 2, 4;3;4
Capone;36;14;5;4,3;1, 2;0;4
Capone;36;15;4;1, 3;0;3;3
Capone;36;16;4;0;1, 2, 3;0;3
Capone;36;17;3;0;1, 2. 3;0;3
Capone;36;18;4;0;1, 2, 3;0;3
Capone;36;19;4;1, 2, 3;0;0;3
Capone;36;20;3;1, 2;0;0;2
Capone;36;21;3;2;1;0;2
