var;plot_id;spike;flower;small;medium;large;total
Capone;36;1;1;0;0;0;0
Capone;36;2;4;1;1;0;2
Capone;36;3;5;2;0;0;2
Capone;36;4;5;3;0;0;3
Capone;36;5;5;3;0;0;3
Capone;36;6;5;3;0;0;4
Capone;36;7;5;4;0;0;4
Capone;36;8;5;4;0;1;4
Capone;36;9;6;3;1;0;4
Capone;36;10;6;3;0;0;4
Capone;36;11;6;4;0;0;3
Capone;36;12;5;3;1;0;4
Capone;36;13;5;3;1;0;4
Capone;36;14;5;2;2;0;4
Capone;36;15;5;2;1;0;3
Capone;36;16;4;3;0;0;3
Capone;36;17;4;3;0;0;3
Capone;36;18;4;2;0;0;1
Capone;36;19;3;1;1;0;2
Eren;36;20;3;0;1;0;2
Eren;36;21;;;;;
