var;plot_id;spike;flower;small;medium;large;total
Capone;38;1;1;0;0;0;0
Capone;38;2;3;1;0;0;1
Capone;38;3;4;1;0;0;1
Capone;38;4;4;1, 2;0;0;2
Capone;38;5;4;1, 2, 3;0;0;3
Capone;38;6;5;1, 2, 3;0;0;3
Capone;38;7;5;2, 3;1;0;3
Capone;38;8;6;1, 2;0;0;2
Capone;38;9;6;1, 3;2;0;3
Capone;38;10;6;1, 2, 3;0;0;3
Capone;38;11;6;1, 2, 3;0;0;3
Capone;38;12;5;1, 3;2;0;3
Capone;38;13;4;1, 2, 3;0;0;3
Capone;38;14;4;1, 2, 3;0;0;3
Capone;38;15;4;1, 3;2;0;3
Capone;38;16;4;1, 2;0;0;2
Capone;38;17;4;1, 2;0;0;2
Capone;38;18;4;1, 2;0;0;2
;;;;;;;
;;;;;;;
;;;;;;;
