var;plot_id;spike;flower;small;medium;large;total
Capone;38;1;0;0;0;0;0
Capone;38;2;0;0;0;0;0
Capone;38;3;1;0;0;0;0
Capone;38;4;3;2;0;0;2
Capone;38;5;3;2;0;0;2
Capone;38;6;5;1;0;1;2
Capone;38;7;5;1;1;0;2
Capone;38;8;5;2;0;0;2
Capone;38;9;4;1;0;0;1
Capone;38;10;5;3;0;0;3
Capone;38;11;5;1;2;0;3
Capone;38;12;5;1;0;0;1
Capone;38;13;5;2;1;0;3
Capone;38;14;4;2;1;0;3
Capone;38;15;5;1;2;0;3
Capone;38;16;4;1;0;1;2
Capone;38;17;4;1;1;0;2
Capone;38;18;4;2;0;0;2
Capone;38;19;5;2;0;0;2
Capone;38;20;4;2;0;0;2
Capone;38;21;;;;;
